GameResult,Team,GameLength,Win_Champion_kill,Lose_Champion_kill,Win_Money,Lose_Money,Win_in_Attack_num,Lose_in_Attack_num,Win_out_Attack_num,Lose_out_Attack_num,Win_CS_Count,Lose_CS_Count
승리,블루팀,25분 19초,70,66,"86,670","83,716","150,450","135,810","155,907","157,752",286,276
패배,레드팀,18분 10초,62,40,"68,653","62,719","103,712","116,695","134,848","109,285",193,204
패배,레드팀,17분 29초,41,29,"60,195","54,288","85,421","73,325","84,843","89,295",214,177
승리,블루팀,19분 32초,44,37,"67,839","62,591","140,442","90,193","98,925","147,423",274,220
승리,레드팀,21분 31초,53,46,"74,500","72,776","133,323","91,606","101,491","142,871",249,244
승리,레드팀,9분 33초,40,17,"39,965","32,983","57,164","35,555","44,269","58,951",110,75
패배,레드팀,25분 7초,60,60,"85,785","86,027","204,392","183,409","197,457","217,869",310,333
승리,레드팀,18분 31초,40,29,"62,687","58,094","89,261","91,065","93,143","98,428",204,211
승리,레드팀,19분 59초,43,45,"67,886","65,975","107,940","123,814","134,377","112,192",210,201
패배,레드팀,12분 29초,29,16,"45,464","37,618","57,261","36,188","38,521","60,202",145,95
패배,레드팀,12분 31초,55,29,"51,869","44,129","90,896","83,888","92,151","103,475",133,111
패배,블루팀,21분 1초,51,40,"76,606","68,403","156,061","129,252","135,146","168,741",244,249
승리,레드팀,20분 55초,48,38,"71,715","68,054","151,561","116,631","136,789","161,239",233,227
승리,레드팀,18분 23초,51,47,"67,630","64,991","119,030","120,333","139,143","125,170",204,201
승리,블루팀,20분 16초,46,50,"70,007","68,495","122,481","136,240","148,851","134,088",235,214
승리,블루팀,21분 42초,46,43,"72,089","69,426","129,344","127,923","140,187","137,220",260,237
승리,레드팀,19분 44초,48,37,"67,685","65,578","116,776","79,122","87,813","121,456",233,254
승리,블루팀,17분 12초,50,32,"62,387","55,786","91,628","99,795","105,333","94,799",189,191
패배,블루팀,27분 50초,69,58,"95,587","90,970","225,366","164,895","175,867","235,726",353,375
승리,레드팀,16분 1초,51,48,"61,665","57,523","120,804","130,269","145,299","133,691",180,165
승리,블루팀,22분 9초,48,38,"75,735","70,691","103,914","123,716","146,556","109,276",284,257
승리,블루팀,20분 22초,63,58,"72,950","70,736","154,370","119,131","126,667","162,983",230,219
승리,블루팀,25분 43초,62,62,"89,035","87,670","159,990","162,945","171,445","170,194",340,331
