GameResult,Team,GameLength,Win_Champion_kill,Lose_Champion_kill,Win_Money,Lose_Money,Win_in_Attack_num,Lose_in_Attack_num,Win_out_Attack_num,Lose_out_Attack_num,Win_CS_Count,Lose_CS_Count
1,0,1519,70,66,86670,83716,150450,135810,155907,157752,286,276
0,1,1090,62,40,68653,62719,103712,116695,134848,109285,193,204
0,1,1049,41,29,60195,54288,85421,73325,84843,89295,214,177
1,0,1172,44,37,67839,62591,140442,90193,98925,147423,274,220
1,1,1291,53,46,74500,72776,133323,91606,101491,142871,249,244
1,1,573,40,17,39965,32983,57164,35555,44269,58951,110,75
0,1,1507,60,60,85785,86027,204392,183409,197457,217869,310,333
1,1,1111,40,29,62687,58094,89261,91065,93143,98428,204,211
1,1,1199,43,45,67886,65975,107940,123814,134377,112192,210,201
0,1,749,29,16,45464,37618,57261,36188,38521,60202,145,95
0,1,751,55,29,51869,44129,90896,83888,92151,103475,133,111
0,0,1261,51,40,76606,68403,156061,129252,135146,168741,244,249
1,1,1255,48,38,71715,68054,151561,116631,136789,161239,233,227
1,1,1103,51,47,67630,64991,119030,120333,139143,125170,204,201
1,0,1216,46,50,70007,68495,122481,136240,148851,134088,235,214
1,0,1302,46,43,72089,69426,129344,127923,140187,137220,260,237
1,1,1184,48,37,67685,65578,116776,79122,87813,121456,233,254
1,0,1032,50,32,62387,55786,91628,99795,105333,94799,189,191
0,0,1670,69,58,95587,90970,225366,164895,175867,235726,353,375
1,1,961,51,48,61665,57523,120804,130269,145299,133691,180,165
1,0,1329,48,38,75735,70691,103914,123716,146556,109276,284,257
1,0,1222,63,58,72950,70736,154370,119131,126667,162983,230,219
1,0,1543,62,62,89035,87670,159990,162945,171445,170194,340,331
0,0,1391,63,50,81274,77357,162877,157308,162411,176834,258,290
1,1,1146,48,37,70446,61003,94438,100376,111871,101518,191,200
1,1,1181,30,36,63671,64219,83262,100120,111053,91910,208,203
0,0,969,36,25,57330,50559,73046,58136,73236,81993,139,160
0,0,819,33,28,49804,45562,63969,61544,69043,70582,148,129
0,1,1195,41,38,66848,63851,95953,85198,91409,101041,230,225
0,1,1329,51,38,75882,70884,120843,100449,106678,129553,286,264
0,1,1164,42,55,66905,68537,91070,124817,137677,95106,221,193
1,0,873,30,19,50447,45258,57155,35002,42827,60941,153,124
0,0,957,35,32,56029,52265,67513,76312,83321,74726,161,170
1,1,898,55,34,57056,49401,84771,65372,82242,90424,161,135
0,0,986,36,33,57724,52427,74865,65808,75077,79340,209,145
1,0,1340,53,52,77053,74026,148764,163525,179347,158907,249,238
0,1,552,24,12,35299,30585,38834,19689,25910,40753,98,87
0,0,1059,37,38,62468,57134,81881,77646,88229,84529,184,168
1,0,735,36,15,46916,38048,68239,46330,49965,71050,144,107
1,0,1364,52,59,78172,77268,122054,172583,187642,126720,273,285
0,1,1625,74,64,94609,90822,224255,186778,196003,238008,365,371
1,1,1203,50,33,69432,63174,129985,119581,137983,138290,258,220
1,1,875,51,31,55324,48987,88174,51353,56626,93075,177,149
0,0,1113,43,40,61898,60748,80309,86302,93874,86732,181,217
1,1,1424,57,48,79521,77174,147075,125368,132730,155383,233,273
1,0,1077,44,35,63662,58306,127970,103130,113910,140649,186,194
0,1,753,23,29,43904,40548,56529,49881,59003,58689,132,102
1,0,720,29,16,44352,37573,45895,31036,40659,49429,127,117
0,1,1280,60,50,76213,74447,123309,118430,131602,130008,248,213
1,1,1764,55,63,94568,95038,164486,178636,193767,171807,386,356
0,1,1263,58,47,74086,70878,137182,105524,111450,158127,259,236
0,1,1258,46,33,73950,64837,105709,71196,78380,113916,223,227
0,1,1279,31,37,66972,64986,80701,83040,98112,84344,225,267
0,1,1324,71,68,82095,77120,198994,152399,169552,210486,282,207
0,0,784,44,19,51506,41937,73876,53703,58028,79533,159,129
1,1,1015,59,44,64218,59386,132421,103561,115470,144475,173,180
1,0,1598,78,65,94924,88935,254974,266891,293620,277905,316,304
1,0,559,27,19,36636,31726,42608,32530,36290,44968,104,75
